                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.0474,                0.51958,                 0.9423,                0.83203,                0.81632,                0.84003,                0.55418,                 1.1764,                0.55542,                 1.0164,              0.0093516,              0.0093516,              0.0093516
                    134,                 1.0507,                0.51361,                0.94643,                0.88447,                0.80635,                0.85923,                0.57692,                 1.1819,                0.54392,                 1.0147,              0.0093466,              0.0093466,              0.0093466
                    135,                 1.0685,                0.52157,                0.95035,                0.78803,                0.82524,                0.83229,                0.54726,                 1.1833,                0.55182,                 1.0133,              0.0093416,              0.0093416,              0.0093416
                    136,                 1.0434,                 0.5075,                0.94473,                0.78908,                0.78231,                0.80569,                0.52702,                 1.1654,                0.53752,                 1.0092,              0.0093367,              0.0093367,              0.0093367
                    137,                 1.0521,                0.51003,                0.94003,                0.85308,                 0.7878,                0.82509,                0.53013,                 1.1761,                0.54178,                 1.0152,              0.0093317,              0.0093317,              0.0093317
                    138,                 1.0507,                 0.5138,                0.95026,                0.87627,                0.79345,                0.84509,                0.53499,                 1.2029,                0.55795,                 1.0213,              0.0093268,              0.0093268,              0.0093268
                    139,                 1.0481,                0.50801,                 0.9433,                0.92314,                0.75194,                0.83341,                0.51729,                 1.2176,                0.56214,                 1.0214,              0.0093219,              0.0093219,              0.0093219
                    140,                 1.0556,                0.51271,                0.94434,                0.88391,                0.71637,                0.79369,                 0.5051,                 1.1976,                 0.5436,                  1.017,              0.0093169,              0.0093169,              0.0093169
                    141,                 1.0678,                0.52316,                 0.9496,                0.93963,                0.78882,                0.84899,                0.53811,                 1.2041,                0.55549,                  1.026,              0.0093119,              0.0093119,              0.0093119
                    142,                 1.0576,                0.51959,                0.94022,                0.79492,                0.72248,                0.80814,                0.51366,                 1.2044,                0.55417,                 1.0192,               0.009307,               0.009307,               0.009307
                    143,                 1.0541,                0.51577,                0.94518,                0.77698,                0.83043,                 0.8351,                0.55427,                  1.185,                0.55038,                 1.0114,               0.009302,               0.009302,               0.009302
                    144,                 1.0622,                0.51672,                0.94468,                0.87106,                0.79151,                0.85334,                0.56617,                 1.1859,                0.54681,                 1.0122,              0.0092971,              0.0092971,              0.0092971
                    145,                 1.0387,                0.50817,                0.94207,                0.82849,                0.83522,                0.84534,                0.55422,                 1.1855,                0.54981,                 1.0123,              0.0092922,              0.0092922,              0.0092922
                    146,                 1.0486,                0.50507,                0.94217,                0.83584,                 0.8119,                0.87404,                 0.5652,                 1.1719,                0.53638,                 1.0104,              0.0092872,              0.0092872,              0.0092872
                    147,                   1.03,                0.49963,                0.94073,                0.74991,                0.84891,                0.82607,                0.55285,                 1.1723,                0.53909,                 1.0076,              0.0092823,              0.0092823,              0.0092823
                    148,                 1.0145,                0.49367,                0.93456,                0.81886,                0.83177,                 0.8374,                0.53481,                 1.1865,                0.54699,                 1.0128,              0.0092773,              0.0092773,              0.0092773
                    149,                0.99742,                0.49222,                0.93526,                0.85769,                0.83779,                0.85575,                0.53374,                 1.1633,                0.52841,                 1.0076,              0.0092724,              0.0092724,              0.0092724
                    150,                 1.0285,                0.50143,                 0.9398,                 0.8623,                0.82494,                0.86112,                0.55142,                 1.1807,                0.54064,                  1.014,              0.0092674,              0.0092674,              0.0092674
                    151,                 1.0319,                0.50531,                0.94075,                0.85057,                 0.7981,                0.80569,                0.51947,                 1.1878,                 0.5407,                 1.0086,              0.0092625,              0.0092625,              0.0092625
                    152,                 1.0259,                0.50367,                0.93622,                0.85849,                0.80861,                0.85641,                0.55181,                 1.1784,                0.54076,                 1.0109,              0.0092575,              0.0092575,              0.0092575
